Year,Exploration and development surface drililng,Exploration and development drilling  expenditures,Mine production of uranium,Uranium concentrate production,Uranium concentrate shipments,Employment
2009,3.7,35.4,4.1,3.7,3.6,"1,096"
2010,4.9,44.6,4.2,4.2,5.1,"1,073"
2011,6.3,53.6,4.1,4.0,4.0,"1,191"
2012,7.2,66.6,4.3,4.1,3.9,"1,196"
2013,3.8,49.9,4.6,4.7,4.7,"1,156"
2014,1.3,28.2,4.9,4.9,4.6,787
2015,0.9,28.7,3.7,3.3,4.0,625
2016,0.8,22.3,2.5,2.9,3.0,560
2017,0.2,4.0,1.2,2.4,2.3,424
2018,W,W,0.7,1.6,1.5,372
2019,W,W,0.2,0.2,0.2,265
2020,W,W,W,W,W,225
2021,0.1,W,0.02,0.02,W,207
2022,0.5,9.4,0.02,0.2,0.2,196
2023,1.1,28.5,0.5,0.5,0.6,340